GeoName,FIPS,GDP Impact,State,Unemploy Rate,GO_yieldImpact,REV_yieldImpact,infectedPCT
"West Feliciana, LA",22125,-0.007747206,LA,0.082517871,0.707189963,0.504472168,0.002055498
"Hunterdon, NJ",34019,-0.049718327,NJ,0.074201652,0.683446481,0.376340294,0.002050317
"Cook, IL",17031,-0.0527655,IL,0.048742569,0.471303315,0.237781548,0.002042626
"West Baton Rouge, LA",22121,-0.076110297,LA,0.082517871,0.783189894,0.63470798,0.002040431
"District of Columbia, DC",11001,-0.039140571,DC,0.074424386,0.673572696,0.408770676,0.002040385
"East Feliciana, LA",22037,-0.017130705,LA,0.082517871,0.717621692,0.218247842,0.00203815
"Miami-Dade, FL",12086,-0.057935207,FL,0.029926153,0.317755078,0.239327859,0.002009982
"Snohomish, WA",53061,-0.060202734,WA,0.085517589,0.790900225,0.369794672,0.002008313
"Pierce, GA",13229,-0.029174819,GA,0.029935606,0.28586189,0.401622811,0.002003596
"Tangipahoa, LA",22105,-0.026353959,LA,0.082517871,0.727875276,0.22100661,0.001996171
"Barnstable, MA",25001,-0.035427575,MA,0.089085202,0.793560021,0.403493073,0.001986009
"Chittenden, VT",50007,-0.057151479,VT,0.056810732,0.54448246,0.477708433,0.001978336
"Sumner, TN",47165,-0.038998429,TN,0.040805298,0.388803207,0.287166529,0.001965674
"Teton, WY",56039,-0.108096038,WY,0.031811213,0.38947786,0.401001046,0.001917832
"Schley, GA",13249,-0.033310956,GA,0.029935606,0.290460075,0.371432685,0.001902226
"Mountrail, ND",38061,-0.041813403,ND,0.047437045,0.448075488,0.359962042,0.001896633
"Terrebonne, LA",22109,-0.046066438,LA,0.082517871,0.749789837,0.382447373,0.001892071
"Montgomery, PA",42091,-0.059867332,PA,0.123671112,1.113526301,0.568177465,0.001830512
"Delaware, PA",42045,-0.050542525,PA,0.123671112,1.103159821,0.688473278,0.001824447
"Bartow, GA",13015,-0.035937934,GA,0.029935606,0.293380513,0.251762652,0.001809946
"Summit, CO",08117,-0.097678817,CO,0.026604143,0.333815074,0.251215571,0.001805811
"Burlington, NJ",34005,-0.047534896,NJ,0.074201652,0.681019139,0.834618353,0.001798589
"Ouachita, LA",22073,-0.029079959,LA,0.082517871,0.730905798,0.469311961,0.001794114
"Alpine, CA",06003,0,CA,0.059779315,0.506077935,0.82040019,0.001771479
"Quitman, MS",28119,-0.009219833,MS,0.029841954,0.262884897,0.395654075,0.001766784
"Weld, CO*",08123,-0.059669653,CO,0.026604143,0.291559906,0.629790419,0.001765837
"Tunica, MS",28143,-0.095071583,MS,0.029841954,0.358327146,0.397105302,0.00176495
"Bolivar, MS",28011,-0.015315266,MS,0.029841954,0.269661251,0.598611458,0.001763093
"Genesee, MI",26049,-0.040272675,MI,0.090799137,0.813456144,0.323851178,0.001756967
"Island, WA",53029,-0.024240915,WA,0.085517589,0.75092111,0.368719745,0.001750038
"Quitman, GA",13239,0,GA,0.029935606,0.253427953,0.347455235,0.001739887
"Colquitt, GA",13071,-0.018808275,GA,0.029935606,0.2743373,0.409431281,0.001732456
"Martin, MN",27091,-0.032684614,MN,0.074738431,0.669054178,0.453092525,0.001727379
"Tippah, MS",28139,-0.029729128,MS,0.029841954,0.285685286,0.304640491,0.001680672
"Franklin, MA",25011,-0.038659203,MA,0.089085202,0.797152655,0.565814589,0.001667142
"Washtenaw, MI",26161,-0.053271323,MI,0.090799137,0.827906872,0.318541176,0.001659408
"Camden, NJ",34007,-0.042018303,NJ,0.074201652,0.674886287,0.360023329,0.001654586
"St. Mary, LA",22101,-0.048254042,LA,0.082517871,0.752221817,0.626375895,0.001641404
"King, WA",53033,-0.053750389,WA,0.085517589,0.783727088,0.476691133,0.001628209
"Litchfield, CT",09005,-0.020321622,CT,0.033279081,0.304324798,0.560329635,0.001619227
"Seminole, GA",13253,-0.020948802,GA,0.029935606,0.276716945,0.281767705,0.001606922
"Holmes, MS",28051,-0.011549477,MS,0.029841954,0.265474786,0.244467821,0.001587302
"Union, LA",22111,-0.041065064,LA,0.082517871,0.744229759,0.234281831,0.001583137
"Miller, GA",13201,-0.010606748,GA,0.029935606,0.26521958,0.354960016,0.001573977
"Yakima, WA",53077,-0.033637559,WA,0.085517589,0.761367454,0.512216231,0.001570516
"Perry, MO",29157,-0.044093263,MO,0.046852866,0.445664513,0.315795926,0.001567726
"Worcester, MA",25027,-0.045354333,MA,0.089085202,0.804595697,0.325371153,0.001560277
"Carroll, GA",13045,-0.032958892,GA,0.029935606,0.290068683,0.323534182,0.001533436
"Jennings, IN",18079,-0.044666285,IN,0.062111827,0.575480396,0.567611367,0.001514332
"Van Buren, AR",05141,-0.042091929,AR,0.028738852,0.290090529,0.297846616,0.001511031
