FIPS,State,Name,COUNTY/TOWN,Bull,Base,Bear,RHG_HurrGDP_2020,RHG_HurrGDP_2030,RHG_HurrGDP_2040,RHG_HurrGDP_2050,RHG_HurrGDP_2060,RHG_HurrGDP_2070,RHG_HurrGDP_2080,RHG_HurrGDP_2090
28051,MS,Mississippi,Holmes County,-0.011122254,-0.018141812,-0.034504872,0.006482313,0.010528144,0.018058471,0.02699125,0.033773248,0.038728431,0.043703287,0.048678444
28053,MS,Mississippi,Humphreys County,-0.006445706,-0.010742844,-0.021485687,0.0061489,0.010743467,0.01782688,0.02653239,0.033025257,0.038308893,0.043897694,0.048959962
28055,MS,Mississippi,Issaquena County,0,0,0,0.006610138,0.012228722,0.020619607,0.030260153,0.037477552,0.044083124,0.050354153,0.055389157
28057,MS,Mississippi,Itawamba County,-0.024169236,-0.039224164,-0.073687792,0.006113859,0.007831786,0.01146279,0.016820758,0.020150018,0.023915015,0.026921861,0.028480714
28059,MS,Mississippi,Jackson County,-0.021642691,-0.035418894,-0.067902625,0.018775218,0.027770467,0.039153019,0.053626576,0.063604319,0.073814219,0.084056756,0.088943443
28061,MS,Mississippi,Jasper County,-0.011911441,-0.01936654,-0.036546701,0.010898194,0.016746195,0.026703918,0.039499695,0.047396819,0.054618883,0.062463122,0.067184701
28063,MS,Mississippi,Jefferson County,-0.002277052,-0.003795086,-0.007590172,0.009819586,0.01763531,0.028435028,0.041626157,0.050149581,0.05903504,0.067112502,0.073676148
28065,MS,Mississippi,Jefferson Davis County,-0.005402262,-0.00900377,-0.01800754,0.011734622,0.018856207,0.030657214,0.044214484,0.053647746,0.062228034,0.07090244,0.078289329
28067,MS,Mississippi,Jones County,-0.020495438,-0.033133379,-0.061651181,0.012197291,0.019477781,0.030161505,0.043384555,0.05270441,0.061025742,0.069248366,0.075567617
28069,MS,Mississippi,Kemper County,-0.004179842,-0.006966403,-0.013932805,0.009427902,0.013202829,0.021312779,0.031121409,0.037891784,0.044011542,0.049145787,0.051707897
28071,MS,Mississippi,Lafayette County,-0.036253371,-0.057929139,-0.104639117,0.005328433,0.007472108,0.011449582,0.016807428,0.021139272,0.024582818,0.027587929,0.029183484
28073,MS,Mississippi,Lamar County,-0.053558469,-0.085491562,-0.154006632,0.013932223,0.022048295,0.033225307,0.048037622,0.05803667,0.067063124,0.076467773,0.084580943
28075,MS,Mississippi,Lauderdale County,-0.038267463,-0.061284528,-0.111343462,0.010340278,0.014828411,0.023844149,0.03446835,0.042054522,0.048721465,0.054689929,0.058343527
28077,MS,Mississippi,Lawrence County,-0.006760716,-0.01126786,-0.022535719,0.011674403,0.018857143,0.030637726,0.044162982,0.054008604,0.062428034,0.071487555,0.07951515
28079,MS,Mississippi,Leake County,-0.01156613,-0.018525565,-0.033670196,0.008520592,0.012777976,0.021256815,0.031529371,0.038402964,0.04407176,0.050535968,0.054755318
28081,MS,Mississippi,Lee County,-0.040773482,-0.065550741,-0.120278703,0.006336283,0.008161881,0.011982929,0.017009448,0.020982852,0.024729621,0.02766437,0.029482061
28083,MS,Mississippi,Leflore County,-0.014068976,-0.022672115,-0.041851429,0.005067406,0.008905911,0.015014549,0.022506752,0.028513654,0.032845393,0.037682547,0.041098906
28085,MS,Mississippi,Lincoln County,-0.024826204,-0.039893373,-0.073110391,0.011553888,0.01891179,0.030743765,0.043955593,0.054284142,0.062790608,0.071952113,0.080247077
28087,MS,Mississippi,Lowndes County,-0.029361446,-0.047287054,-0.087155006,0.008179427,0.010717425,0.016560031,0.024152149,0.028969551,0.033804282,0.037020519,0.038785474
28089,MS,Mississippi,Madison County,-0.028735475,-0.046425239,-0.086247988,0.008429959,0.013427146,0.022459053,0.032902522,0.040205393,0.046141234,0.052591814,0.057900483
28091,MS,Mississippi,Marion County,-0.014922175,-0.024093195,-0.044689455,0.013364739,0.021422284,0.033148113,0.047653471,0.05789025,0.067256136,0.076542325,0.085719834
28093,MS,Mississippi,Marshall County,-0.012945034,-0.021009667,-0.039475082,0.004869343,0.006947233,0.010188425,0.014613454,0.018024705,0.020842284,0.023577274,0.025103393
28095,MS,Mississippi,Monroe County,-0.028081326,-0.045427536,-0.084669043,0.006794954,0.008901642,0.013623588,0.019962234,0.024008862,0.028551609,0.031633728,0.033146061
28097,MS,Mississippi,Montgomery County,-0.025437692,-0.040710089,-0.07383289,0.006783947,0.009514336,0.015873181,0.023705296,0.02925232,0.034541233,0.038825776,0.042018247
28099,MS,Mississippi,Neshoba County,-0.018634728,-0.029963648,-0.055003255,0.008962895,0.012619051,0.021017715,0.031266913,0.038157815,0.043760085,0.049659288,0.053259584
28101,MS,Mississippi,Newton County,-0.013613359,-0.022043662,-0.041183612,0.009678454,0.014113884,0.023241099,0.03489837,0.042403138,0.048794362,0.055605561,0.059463608
28103,MS,Mississippi,Noxubee County,-0.017951381,-0.028931556,-0.053419758,0.008276277,0.011391025,0.018198313,0.027201985,0.032624218,0.038493483,0.042708049,0.044604572
28105,MS,Mississippi,Oktibbeha County,-0.033031398,-0.052768237,-0.095258057,0.007803359,0.010624149,0.016781212,0.024746027,0.029920264,0.035108142,0.039436049,0.041467532
28107,MS,Mississippi,Panola County,-0.020109105,-0.032421754,-0.059923112,0.004244716,0.00685449,0.010695586,0.015560644,0.019904735,0.023506246,0.026252684,0.028669028
